id,id2,oldid,vcfid,A,state,gencoveid,projid
20_2020Q19_4,20_2020Q19,173490D,173490D,0.003902,IN,8f13c2ee-622d-4e39-80ee-e60b4ac718c9,fb7724e2-2191-4084-be6e-5ee124245744
Clifty Falls_2,Clifty Falls,173501D,173501D,0.003996,IN,e48d3009-ea02-41f9-a9da-341511611397,fb7724e2-2191-4084-be6e-5ee124245744
11_2020Q10_1,11_2020Q10,173530D,173530D,0.004096,IN,bbdbc9f2-fd4e-4383-8501-9239d59542f1,fb7724e2-2191-4084-be6e-5ee124245744
11_2020Q10_2,11_2020Q10,173528D,173528D,0.004202,IN,a6df6725-9e94-4cf7-94f3-bc88b176dab4,fb7724e2-2191-4084-be6e-5ee124245744
14_2020Q13_3,14_2020Q13,173477D,173477D,0.004304,IN,e28d4953-c7f4-4708-be09-d93886282353,fb7724e2-2191-4084-be6e-5ee124245744
Turkey Run_1,Turkey Run,173380D,173380D,0.004342,IN,cb6141dd-c50d-4b9a-8a1a-a2ece99b740a,fb7724e2-2191-4084-be6e-5ee124245744
Harmonie_5,Harmonie,173390D,173390D,0.00443,IN,3803c4fc-3b08-46e7-bb05-6a912cee5c26,fb7724e2-2191-4084-be6e-5ee124245744
6_2020Q5_5,6_2020Q5,173485D,173485D,0.004645,IN,c3087a5d-015f-4d3e-892f-8d143ca8c0db,fb7724e2-2191-4084-be6e-5ee124245744
Harrison_1,Harrison,173388D,173388D,0.004684,IN,31fa0060-ee84-4e77-870d-4e4302553ee2,fb7724e2-2191-4084-be6e-5ee124245744
Potato_4,Potato,173402D,173402D,0.004818,IN,4b3eaa49-5466-4328-b0f8-dc16576e2e56,fb7724e2-2191-4084-be6e-5ee124245744
Falls Ohio_4,Falls Ohio,173509D,173509D,0.004981,IN,21d88776-e416-4eec-bf2d-5f5cf4526c3b,fb7724e2-2191-4084-be6e-5ee124245744
Harrison_5,Harrison,173384D,173384D,0.005617,IN,316a4fc9-0a02-458a-8113-81b4b95a366c,fb7724e2-2191-4084-be6e-5ee124245744
11_2020Q10_5,11_2020Q10,173523D,173523D,0.006176,IN,6103d9f5-60b9-46d7-8f35-3d4ce37d4196,fb7724e2-2191-4084-be6e-5ee124245744
Brown 39.1648312_5,Brown 39.1648312,173550D,173550D,0.006595,IN,bc74b4ad-bf7f-4ae5-be3e-014a20eba3b6,fb7724e2-2191-4084-be6e-5ee124245744
34_2020Q33_5,34_2020Q33,173498D,173498D,0.00705,IN,454f6e96-2dc9-4e84-bade-8a5c1897b9a1,fb7724e2-2191-4084-be6e-5ee124245744
11_2020Q10_3,11_2020Q10,173526D,173526D,0.007123,IN,e2bf0aff-87e0-4bd4-ab18-03ee79d854d1,fb7724e2-2191-4084-be6e-5ee124245744
8_2020Q7_4,8_2020Q7,173502D,173502D,0.007385,IN,46997aa6-ee1d-49b5-9b17-5f246a8e2750,fb7724e2-2191-4084-be6e-5ee124245744
6_2020Q5_3,6_2020Q5,173482D,173482D,0.007718,IN,f446674c-436c-44af-b580-64a945b7968a,fb7724e2-2191-4084-be6e-5ee124245744
Charlestown_5,Charlestown,173537D,173537D,0.008391,IN,977282c3-8b09-4972-ab54-310b6fa2398a,fb7724e2-2191-4084-be6e-5ee124245744
63_2021Q61_3,63_2021Q61,173474D,173474D,0.008853,IN,f725523b-52bf-4533-8322-4bc59d10251c,fb7724e2-2191-4084-be6e-5ee124245744
Mounds_4,Mounds,173358D,173358D,0.008991,IN,1db4b353-e9fe-4351-8f73-e942550f641f,fb7724e2-2191-4084-be6e-5ee124245744
Turkey Run_2,Turkey Run,173378D,173378D,0.009119,IN,efb93cc9-7adf-447b-a3ad-7650cc1cfd42,fb7724e2-2191-4084-be6e-5ee124245744
63_2021Q61_4,63_2021Q61,173472D,173472D,0.009567,IN,6f481b54-b01c-4a1f-9821-a38b9b06affb,fb7724e2-2191-4084-be6e-5ee124245744
Ouabache_2,Ouabache,173543D,173543D,0.00979,IN,dcf92d28-2fec-45fe-bad0-17d12caa1151,fb7724e2-2191-4084-be6e-5ee124245744
Starve Hollow_3,Starve Hollow,173518D,173518D,0.009985,IN,2bbd20c6-a74f-4750-8b90-9e1dd0a42d38,fb7724e2-2191-4084-be6e-5ee124245744
11_2020Q10_4,11_2020Q10,173524D,173524D,0.009998,IN,9e090ba9-19db-4928-8406-aa579b160ae1,fb7724e2-2191-4084-be6e-5ee124245744
49_2021Q115_4,49_2021Q115,173433D,173433D,0.010043,IN,f0c70051-5820-4b38-9149-9d1ccf2845aa,fb7724e2-2191-4084-be6e-5ee124245744
Yellowwood_2,Yellowwood,173515D,173515D,0.011301,IN,f881edb1-679f-4f3b-aa2d-6535e318750b,fb7724e2-2191-4084-be6e-5ee124245744
Selmier_1,Selmier,173399D,173399D,0.011501,IN,84e5b7e8-e072-4a7c-99f5-9db61331b293,fb7724e2-2191-4084-be6e-5ee124245744
Versailles_5,Versailles,173506D,173506D,0.011564,IN,cefcbd5a-4744-4304-8d22-303cf08a1052,fb7724e2-2191-4084-be6e-5ee124245744
Mounds_5,Mounds,173357D,173357D,0.01302,IN,4f04d0c5-a520-4e6f-8107-ba29040f8e7f,fb7724e2-2191-4084-be6e-5ee124245744
Harrison_2,Harrison,173386D,173386D,0.013509,IN,bfb16e50-fa15-4b89-b9b4-ef2754eb4350,fb7724e2-2191-4084-be6e-5ee124245744
Brown 39.1623424_1,Brown 39.1623424,173552D,173552D,0.013688,IN,bafe34b9-ba22-4995-b619-6c95d120d967,fb7724e2-2191-4084-be6e-5ee124245744
Brown 39.1648312_3,Brown 39.1648312,173548D,173548D,0.014055,IN,e6b97ac6-3ebd-4ef8-bc91-405cc189cc8a,fb7724e2-2191-4084-be6e-5ee124245744
Harrison_4,Harrison,173385D,173385D,0.014061,IN,7b37029b-77f1-4279-b701-9d6303be5061,fb7724e2-2191-4084-be6e-5ee124245744
Ferdinand_1,Ferdinand,173382D,173382D,0.014276,IN,0d3ee2d2-9013-4ccc-98b9-541986bf3b26,fb7724e2-2191-4084-be6e-5ee124245744
49_2021Q115_5,49_2021Q115,173469D,173469D,0.014339,IN,aebde2ac-5fdb-4886-aa51-ecd3e93686e6,fb7724e2-2191-4084-be6e-5ee124245744
Starve Hollow_5,Starve Hollow,173516D,173516D,0.014821,IN,13a9f8d6-a1c8-4d77-bbba-10c6f0a1a9eb,fb7724e2-2191-4084-be6e-5ee124245744
